sound,sound_ipa,target,word,gloss,position,manner,place,laryngeal,category,following_vowel,stress,documented_asp,probe,provenance,preceding_seg,notes
p',pʼ,p',p'óp'ó,"fog, mist, steam (redup)",intervocalic,stop,labial,ejective,stop_ejective,o,stressed,,,,,
p',pʼ,p',p'é,American elm,initial,stop,labial,ejective,stop_ejective,e,stressed,,,,,
p',pʼ,p',makȟóp'oya,kick up dust when walking,intervocalic,stop,labial,ejective,stop_ejective,o,unstressed,,,,,
th,tʰ,th,thípi,"house, dwelling",initial,stop,coronal,aspirated_glottal,stop_aspirated,i,stressed,,,,,
th,tʰ,th,wówapi-othí,library,intervocalic,stop,coronal,aspirated_glottal,stop_aspirated,i,stressed,,,,,
th,tʰ,th,theȟí,to be difficult,initial,stop,coronal,aspirated_glottal,stop_aspirated,e,unstressed,glottal,,,,
th,tʰ,th,ithéhu,forehead,intervocalic,stop,coronal,aspirated_glottal,stop_aspirated,e,stressed,glottal,,,,
t',tʼ,t',t'é,to die,initial,stop,coronal,ejective,stop_ejective,e,stressed,,,,,
t',tʼ,t',t'at'á,"to be mentally disabled, fatigued",intervocalic,stop,coronal,ejective,stop_ejective,a,stressed,,,,,
t',tʼ,t',t'áǧa,"to be rough, tart",initial,stop,coronal,ejective,stop_ejective,a,stressed,,,,,
t',tʼ,t',it'élyA,to make something tepid,intervocalic,stop,coronal,ejective,stop_ejective,e,stressed,,,,,
kh,kʰ,kh,khiglékhiyA,to send somebody from here back there,initial,stop,velar,aspirated_glottal,stop_aspirated,i,unstressed,,,,,
kh,kʰ,kh,tȟóziwakhiye,"to paint something green, 1st person",intervocalic,stop,velar,aspirated_glottal,stop_aspirated,i,unstressed,,,,,
kh,kʰ,kh,khukhúše,pig,initial,stop,velar,aspirated_glottal,stop_aspirated,u,unstressed,,,,,
kh,kʰ,kh,kákhetuya,"so, thus",intervocalic,stop,velar,aspirated_glottal,stop_aspirated,e,unstressed,glottal,,,,
k',kʼ,k',k'ó,"there is noise, confusion",initial,stop,velar,ejective,stop_ejective,o,stressed,,,,,
k',kʼ,k',kak'óǧa,to scrape off a surface layer of something,intervocalic,stop,velar,ejective,stop_ejective,o,stressed,,,,,
k',kʼ,k',k'ín,to dig,initial,stop,velar,ejective,stop_ejective,iŋ,stressed,,,,,
k',kʼ,k',mák'eya,"interjective, Nonsense! Foolish!",intervocalic,stop,velar,ejective,stop_ejective,e,unstressed,,,,,
